mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.1,-12,-2.4,5.74,0.140913044,0.012783343,0.040906697,0.818133948
10,22.95,0.1,-11,-2.2,5.74,0.140913044,0.01561361,0.049963553,0.99927106
10,22.95,0.1,-10,-2,5.74,0.140913044,0.019070507,0.061025621,1.220512429
10,22.95,0.1,-9,-1.8,5.74,0.140913044,0.023292769,0.074536862,1.490737248
10,22.95,0.1,-8,-1.6,5.74,0.140913044,0.028449853,0.091039529,1.820790586
10,22.95,0.1,-7,-1.4,5.74,0.140913044,0.034748729,0.111195932,2.223918644
10,22.95,0.1,-6,-1.2,5.74,0.140913044,0.042442193,0.135815018,2.716300365
10,22.95,0.1,-5,-1,5.74,0.140913044,0.051839012,0.165884838,3.317696758
10,22.95,0.1,-4,-0.8,5.74,0.140913044,0.063316312,0.202612199,4.052243971
10,22.95,0.1,-3,-0.6,5.74,0.140913044,0.077334718,0.247471098,4.949421963
10,22.95,0.1,-2,-0.4,5.74,0.140913044,0.094456838,0.302261882,6.045237637
10,22.95,0.1,-1,-0.2,5.74,0.140913044,0.115369843,0.369183496,7.383669924
10,22.95,0.1,0,0,5.74,0.140913044,0.140913044,0.450921741,9.018434811
10,22.95,0.1,1,0.2,5.74,0.140913044,0.184659891,0.590911651,11.81823302
10,22.95,0.1,2,0.4,5.74,0.140913044,0.22617904,0.723772927,14.47545853
10,22.95,0.1,3,0.6,5.74,0.140913044,0.26558393,0.849868575,16.9973715
10,22.95,0.1,4,0.8,5.74,0.140913044,0.302982225,0.969543119,19.39086239
10,22.95,0.1,5,1,5.74,0.140913044,0.338476106,1.083123538,21.66247076
10,22.95,0.1,6,1.2,5.74,0.140913044,0.37216255,1.190920159,23.81840317
10,22.95,0.1,7,1.4,5.74,0.140913044,0.404133596,1.293227507,25.86455014
10,22.95,0.1,8,1.6,5.74,0.140913044,0.434476597,1.39032511,27.80650221
10,22.95,0.1,9,1.8,5.74,0.140913044,0.463274457,1.482478262,29.64956524
10,22.95,0.1,10,2,5.74,0.140913044,0.490605858,1.569938746,31.39877491
10,22.95,0.1,11,2.2,5.74,0.140913044,0.516545476,1.652945524,33.05891047
10,22.95,0.1,12,2.4,5.74,0.140913044,0.541164184,1.73172539,34.6345078
10,22.95,0.1,13,2.6,5.74,0.140913044,0.564529247,1.806493589,36.12987178
10,22.95,0.1,14,2.8,5.74,0.140913044,0.586704502,1.877454406,37.54908811
10,22.95,0.1,15,3,5.74,0.140913044,0.607750538,1.944801721,38.89603441
10,22.95,0.1,16,3.2,5.74,0.140913044,0.627724857,2.008719543,40.17439085
10,22.95,0.1,17,3.4,5.74,0.140913044,0.646682034,2.06938251,41.3876502
10,22.95,0.1,18,3.6,5.74,0.140913044,0.664673865,2.126956368,42.53912736
10,22.95,0.1,19,3.8,5.74,0.140913044,0.681749507,2.181598422,43.63196843
10,22.95,0.1,20,4,5.74,0.140913044,0.697955614,2.233457966,44.66915932
10,22.95,0.1,21,4.2,5.74,0.140913044,0.713336467,2.282676693,45.65353386
10,22.95,0.1,22,4.4,5.74,0.140913044,0.727934087,2.32938908,46.5877816
10,22.95,0.1,23,4.6,5.74,0.140913044,0.741788361,2.373722756,47.47445512
10,22.95,0.1,24,4.8,5.74,0.140913044,0.754937141,2.415798851,48.31597701
10,22.95,0.1,25,5,5.74,0.140913044,0.767416352,2.455732326,49.11464652
10,22.95,0.1,26,5.2,5.74,0.140913044,0.77926009,2.493632289,49.87264578
10,22.95,0.1,27,5.4,5.74,0.140913044,0.790500716,2.529602292,50.59204584
10,22.95,0.1,28,5.6,5.74,0.140913044,0.801168941,2.563740613,51.27481225
10,22.95,0.1,29,5.8,5.74,0.140913044,0.811293914,2.596140525,51.9228105
10,22.95,0.1,30,6,5.74,0.140913044,0.820903298,2.626890553,52.53781106
10,22.95,0.1,31,6.2,5.74,0.140913044,0.830023348,2.656074713,53.12149427
10,22.95,0.1,32,6.4,5.74,0.140913044,0.838678982,2.683772743,53.67545487
10,22.95,0.1,33,6.6,5.74,0.140913044,0.84689385,2.710060321,54.20120641
10,22.95,0.1,34,6.8,5.74,0.140913044,0.854690397,2.735009269,54.70018538
10,22.95,0.1,35,7,5.74,0.140913044,0.862089923,2.758687755,55.1737551
10,22.95,0.1,36,7.2,5.74,0.140913044,0.869112648,2.781160473,55.62320947
10,22.95,0.1,37,7.4,5.74,0.140913044,0.875777758,2.802488825,56.0497765
10,22.95,0.1,38,7.6,5.74,0.140913044,0.882103464,2.822731084,56.45462168
10,22.95,0.1,39,7.8,5.74,0.140913044,0.888107049,2.841942557,56.83885113
10,22.95,0.1,40,8,5.74,0.140913044,0.893804917,2.860175733,57.20351466
10,22.95,0.1,41,8.2,5.74,0.140913044,0.899212635,2.877480431,57.54960862
10,22.95,0.1,42,8.4,5.74,0.140913044,0.904344978,2.893903931,57.87807861
10,22.95,0.1,43,8.6,5.74,0.140913044,0.90921597,2.909491105,58.18982209
10,22.95,0.1,44,8.8,5.74,0.140913044,0.913838919,2.924284541,58.48569082
10,22.95,0.1,45,9,5.74,0.140913044,0.918226456,2.938324659,58.76649318
10,22.95,0.1,46,9.2,5.74,0.140913044,0.922390568,2.951649819,59.03299637
10,22.95,0.1,47,9.4,5.74,0.140913044,0.926342634,2.964296428,59.28592857
10,22.95,0.1,48,9.6,5.74,0.140913044,0.93009345,2.976299041,59.52598082
10,22.95,0.1,49,9.8,5.74,0.140913044,0.933653266,2.987690451,59.75380902
10,22.95,0.1,50,10,5.74,0.140913044,0.937031807,2.998501782,59.97003564
10,22.95,0.1,51,10.2,5.74,0.140913044,0.940238304,3.008762573,60.17525146
10,22.95,0.1,52,10.4,5.74,0.140913044,0.943281518,3.018500859,60.37001718
10,22.95,0.1,53,10.6,5.74,0.140913044,0.946169765,3.027743247,60.55486494
10,22.95,0.1,54,10.8,5.74,0.140913044,0.948910934,3.03651499,60.7302998
10,22.95,0.1,55,11,5.74,0.140913044,0.951512517,3.044840054,60.89680107
10,22.95,0.1,56,11.2,5.74,0.140913044,0.95398162,3.052741185,61.05482369
10,22.95,0.1,57,11.4,5.74,0.140913044,0.956324991,3.06023997,61.2047994
10,22.95,0.1,58,11.6,5.74,0.140913044,0.958549031,3.067356899,61.34713798
10,22.95,0.1,59,11.8,5.74,0.140913044,0.960659817,3.074111416,61.48222832
10,22.95,0.1,60,12,5.74,0.140913044,0.962663118,3.080521976,61.61043952
10,22.95,0.1,61,12.2,5.74,0.140913044,0.964564405,3.086606095,61.73212189
10,22.95,0.1,62,12.4,5.74,0.140913044,0.966368873,3.092380395,61.84760789
10,22.95,0.1,63,12.6,5.74,0.140913044,0.968081454,3.097860653,61.95721306
10,22.95,0.1,64,12.8,5.74,0.140913044,0.969706826,3.103061843,62.06123686
10,22.95,0.1,65,13,5.74,0.140913044,0.97124943,3.107998175,62.1599635
